latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
36.8474,29.44319,301.78,1.46,1.19,2023-10-07,3,Aqua,MODIS,44,6.1NRT,286.37,11.54,N
37.7303,37.84777,313.51,1.18,1.08,2023-10-07,3,Aqua,MODIS,87,6.1NRT,285.78,18.27,N
37.73259,37.83482,317.46,1.18,1.08,2023-10-07,3,Aqua,MODIS,95,6.1NRT,286.12,22.52,N
28.91366,20.95634,300.87,4.25,1.91,2023-10-07,5,Aqua,MODIS,22,6.1NRT,286.48,47.09,N
28.91857,20.96127,301.42,4.25,1.91,2023-10-07,5,Aqua,MODIS,41,6.1NRT,286.94,51.81,N
7.15303,30.24538,319.69,1.27,1.12,2023-10-07,9,Aqua,MODIS,99,6.1NRT,294.26,24.42,N
7.15476,30.2341,314.13,1.27,1.12,2023-10-07,9,Aqua,MODIS,88,6.1NRT,293.25,17.23,N
7.16123,30.25821,319.27,1.28,1.12,2023-10-07,9,Aqua,MODIS,98,6.1NRT,293.84,23.66,N
7.16296,30.24691,311.88,1.27,1.12,2023-10-07,9,Aqua,MODIS,83,6.1NRT,292.48,14.57,N
7.17117,30.25975,310.27,1.28,1.12,2023-10-07,9,Aqua,MODIS,57,6.1NRT,292.64,12.67,N
7.18111,30.26128,307.77,1.28,1.12,2023-10-07,9,Aqua,MODIS,72,6.1NRT,292.34,10.93,N
7.18197,30.25663,303.31,1.27,1.12,2023-10-07,9,Aqua,MODIS,52,6.1NRT,292.03,7.09,N
-1.41412,29.21352,339.23,1.45,1.19,2023-10-07,11,Aqua,MODIS,100,6.1NRT,269.49,79.11,N
-1.41218,29.20059,331.79,1.44,1.19,2023-10-07,11,Aqua,MODIS,100,6.1NRT,269.73,58.59,N
-1.40917,29.20833,355.04,1.45,1.19,2023-10-07,11,Aqua,MODIS,100,6.1NRT,276.99,134.49,N
-1.40737,29.19571,301.19,1.44,1.19,2023-10-07,11,Aqua,MODIS,39,6.1NRT,267.95,13.61,N
-1.40365,29.21541,324.78,1.45,1.19,2023-10-07,11,Aqua,MODIS,79,6.1NRT,270.12,43.58,N
-1.40167,29.20212,320.86,1.44,1.19,2023-10-07,11,Aqua,MODIS,77,6.1NRT,269.63,36.91,N
-10.19127,30.5355,305.76,2.51,1.52,2023-10-07,13,Aqua,MODIS,66,6.1NRT,286.95,31.79,N
-10.18574,30.53097,308.17,2.51,1.52,2023-10-07,13,Aqua,MODIS,74,6.1NRT,286.72,35.96,N
-12.07254,26.4068,302.67,1.32,1.14,2023-10-07,16,Aqua,MODIS,46,6.1NRT,291.09,8.65,N
-12.07095,26.39498,302.67,1.32,1.14,2023-10-07,16,Aqua,MODIS,49,6.1NRT,288.46,9.14,N
-20.05358,21.61209,316.66,1,1,2023-10-07,18,Aqua,MODIS,94,6.1NRT,288.95,16.69,N
-20.05219,21.6026,310.12,1,1,2023-10-07,18,Aqua,MODIS,79,6.1NRT,288.45,11.43,N
-20.00572,21.34867,300.69,1,1,2023-10-07,18,Aqua,MODIS,32,6.1NRT,287.91,5.81,N
-19.98667,21.72583,317.13,1.01,1,2023-10-07,18,Aqua,MODIS,94,6.1NRT,288.67,16.07,N
-19.97772,21.72726,308.46,1.01,1,2023-10-07,18,Aqua,MODIS,47,6.1NRT,287.81,9.31,N
-19.97633,21.71776,321.38,1.01,1,2023-10-07,18,Aqua,MODIS,100,6.1NRT,289.12,20.13,N
-19.94342,25.66337,303.12,1.5,1.21,2023-10-07,18,Aqua,MODIS,53,6.1NRT,291.18,10.47,N
-19.93361,21.67603,309.94,1.01,1,2023-10-07,18,Aqua,MODIS,79,6.1NRT,288.77,11.16,N
-19.92429,21.67437,311.37,1,1,2023-10-07,18,Aqua,MODIS,61,6.1NRT,288.79,11.32,N
-19.9229,21.6649,307.16,1,1,2023-10-07,18,Aqua,MODIS,35,6.1NRT,288.79,8.46,N
-19.91395,21.66633,304.63,1,1,2023-10-07,18,Aqua,MODIS,12,6.1NRT,287.81,6.75,N
-19.91256,21.65686,327.46,1,1,2023-10-07,18,Aqua,MODIS,100,6.1NRT,290.08,27.42,N
-18.65045,22.54292,300.32,1.03,1.01,2023-10-07,18,Aqua,MODIS,25,6.1NRT,287.87,5.76,N
-18.58109,21.62054,310.69,1,1,2023-10-07,18,Aqua,MODIS,81,6.1NRT,287.87,11.88,N
-18.57971,21.61119,310.57,1,1,2023-10-07,18,Aqua,MODIS,80,6.1NRT,287.23,11.79,N
-18.55294,21.61548,315.35,1,1,2023-10-07,18,Aqua,MODIS,91,6.1NRT,287.96,15.56,N
-17.78331,20.5582,312.16,1.03,1.02,2023-10-07,18,Aqua,MODIS,84,6.1NRT,290.29,12.6,N
-17.78182,20.54858,323.18,1.04,1.02,2023-10-07,18,Aqua,MODIS,100,6.1NRT,291.56,23.17,N
-16.40539,29.01436,317.46,2.36,1.48,2023-10-07,18,Aqua,MODIS,95,6.1NRT,296.28,45.24,N
-16.40285,28.99306,306.43,2.35,1.48,2023-10-07,18,Aqua,MODIS,14,6.1NRT,296.09,16.29,N
-16.40205,29.00968,318.09,2.36,1.48,2023-10-07,18,Aqua,MODIS,96,6.1NRT,296.59,47.17,N
-16.38873,29.01091,309.6,2.36,1.48,2023-10-07,18,Aqua,MODIS,50,6.1NRT,295.73,23.58,N
-16.37884,29.01766,319.29,2.36,1.48,2023-10-07,18,Aqua,MODIS,98,6.1NRT,295.7,52.27,N
-16.37783,29.03431,308.74,2.37,1.49,2023-10-07,18,Aqua,MODIS,42,6.1NRT,295.48,21.51,N
-16.3755,29.01308,312.57,2.36,1.48,2023-10-07,18,Aqua,MODIS,83,6.1NRT,294.97,31.36,N
-16.26061,25.86582,305.46,1.38,1.16,2023-10-07,18,Aqua,MODIS,64,6.1NRT,288.18,12.7,N
-16.25892,25.85299,300.53,1.38,1.16,2023-10-07,18,Aqua,MODIS,29,6.1NRT,287.87,8.4,N
-16.18614,25.86283,302.06,1.38,1.16,2023-10-07,18,Aqua,MODIS,25,6.1NRT,289.63,8.55,N
-16.17078,25.88371,311.96,1.38,1.16,2023-10-07,18,Aqua,MODIS,84,6.1NRT,289.47,18.41,N
-16.13292,25.83676,301.46,1.37,1.16,2023-10-07,18,Aqua,MODIS,41,6.1NRT,290.71,8.06,N
-16.13127,25.82405,305.06,1.37,1.16,2023-10-07,18,Aqua,MODIS,63,6.1NRT,291.01,11.17,N
-15.783,17.01119,308.58,1.72,1.29,2023-10-07,18,Aqua,MODIS,74,6.1NRT,275.48,27.62,N
-15.74075,23.17555,300.32,1.03,1.01,2023-10-07,18,Aqua,MODIS,23,6.1NRT,289.18,5.95,N
-15.36508,25.65236,309.13,1.31,1.13,2023-10-07,18,Aqua,MODIS,76,6.1NRT,292.66,11.99,N
-14.61439,25.89824,301.79,1.32,1.14,2023-10-07,18,Aqua,MODIS,22,6.1NRT,289.72,7.09,N
-14.60421,25.89964,302.94,1.32,1.14,2023-10-07,18,Aqua,MODIS,37,6.1NRT,289.85,7.96,N
-13.57868,20.46673,318.46,1.13,1.06,2023-10-07,18,Aqua,MODIS,97,6.1NRT,289.41,21.29,N
-29.88557,27.14736,301.21,2.61,1.55,2023-10-07,20,Aqua,MODIS,39,6.1NRT,284.09,28.92,N
-29.59329,27.81766,306.49,2.88,1.62,2023-10-07,20,Aqua,MODIS,68,6.1NRT,285.75,44.15,N
-29.59281,27.82562,300.72,2.88,1.62,2023-10-07,20,Aqua,MODIS,22,6.1NRT,285.43,26.09,N
-29.59039,27.7971,305.87,2.87,1.62,2023-10-07,20,Aqua,MODIS,66,6.1NRT,285.78,40.06,N
-27.93192,23.1264,315.8,1.33,1.14,2023-10-07,20,Aqua,MODIS,92,6.1NRT,288.16,23.05,N
-27.93035,23.11299,360.22,1.33,1.14,2023-10-07,20,Aqua,MODIS,100,6.1NRT,292.86,133.41,N
-27.9201,23.11449,302.15,1.33,1.14,2023-10-07,20,Aqua,MODIS,9,6.1NRT,288.79,8.94,N
-27.90761,23.08145,319.67,1.32,1.14,2023-10-07,20,Aqua,MODIS,99,6.1NRT,290.54,28.37,N
-27.90598,23.06821,303.78,1.32,1.14,2023-10-07,20,Aqua,MODIS,57,6.1NRT,288.05,10.54,N
-27.89738,23.08292,320.17,1.32,1.14,2023-10-07,20,Aqua,MODIS,100,6.1NRT,291.08,28.84,N
-27.89577,23.06973,322.99,1.32,1.14,2023-10-07,20,Aqua,MODIS,100,6.1NRT,290.61,33.24,N
-27.86195,23.04786,305.44,1.31,1.14,2023-10-07,20,Aqua,MODIS,64,6.1NRT,287.89,11.69,N
-27.81805,23.02759,307.7,1.31,1.13,2023-10-07,20,Aqua,MODIS,72,6.1NRT,289.33,12.85,N
-27.81546,23.15634,306.14,1.33,1.14,2023-10-07,20,Aqua,MODIS,63,6.1NRT,287.37,13.11,N
-27.79083,26.35386,343.13,2.15,1.43,2023-10-07,20,Aqua,MODIS,100,6.1NRT,286.8,160.04,N
-27.7887,26.33212,318.56,2.15,1.42,2023-10-07,20,Aqua,MODIS,97,6.1NRT,283.17,59.96,N
-27.78308,23.14751,309.19,1.33,1.14,2023-10-07,20,Aqua,MODIS,52,6.1NRT,287.78,14.6,N
-27.778,26.35536,301.42,2.15,1.43,2023-10-07,20,Aqua,MODIS,41,6.1NRT,282.03,23.84,N
-27.77589,26.33365,329.63,2.15,1.42,2023-10-07,20,Aqua,MODIS,100,6.1NRT,284.44,98.23,N
-27.77124,23.13567,309,1.32,1.14,2023-10-07,20,Aqua,MODIS,64,6.1NRT,288.8,15.04,N
-27.761,23.13719,336.31,1.32,1.14,2023-10-07,20,Aqua,MODIS,100,6.1NRT,288.61,58.35,N
-26.97696,23.20131,300.22,1.31,1.13,2023-10-07,20,Aqua,MODIS,20,6.1NRT,287.01,8.21,N
-26.95574,23.69134,331.4,1.39,1.17,2023-10-07,20,Aqua,MODIS,100,6.1NRT,287.62,53.95,N
-26.95407,23.67741,322.11,1.39,1.17,2023-10-07,20,Aqua,MODIS,100,6.1NRT,286.87,35.51,N
-25.82387,24.74339,304.18,1.57,1.23,2023-10-07,20,Aqua,MODIS,31,6.1NRT,290.51,12.03,N
-25.8128,24.74499,302.93,1.57,1.23,2023-10-07,20,Aqua,MODIS,13,6.1NRT,290.07,10.34,N
-24.78367,26.84755,304.65,2.13,1.42,2023-10-07,20,Aqua,MODIS,61,6.1NRT,289.71,20.69,N
-24.78231,26.83375,324.57,2.12,1.42,2023-10-07,20,Aqua,MODIS,100,6.1NRT,290.19,71.18,N
-24.78161,26.82673,321.22,2.12,1.42,2023-10-07,20,Aqua,MODIS,100,6.1NRT,290.11,60.02,N
-24.2625,26.57865,311.25,2,1.38,2023-10-07,20,Aqua,MODIS,82,6.1NRT,293.51,27.62,N
-24.25216,26.59982,315.11,2.01,1.38,2023-10-07,20,Aqua,MODIS,91,6.1NRT,292.8,36.82,N
-24.20565,27.26996,306.08,2.24,1.45,2023-10-07,20,Aqua,MODIS,39,6.1NRT,287.52,24.43,N
-24.20393,27.26493,311,2.24,1.45,2023-10-07,20,Aqua,MODIS,81,6.1NRT,288.79,37,N
-24.20333,27.24812,316.2,2.23,1.45,2023-10-07,20,Aqua,MODIS,93,6.1NRT,290.46,48.28,N
-24.20177,27.24307,307.75,2.23,1.45,2023-10-07,20,Aqua,MODIS,72,6.1NRT,289.49,28.93,N
-23.81557,21.021,300.88,1.01,1.01,2023-10-07,20,Aqua,MODIS,33,6.1NRT,288.17,5.67,N
-23.8094,21.04216,302.52,1.01,1.01,2023-10-07,20,Aqua,MODIS,49,6.1NRT,286.95,6.98,N
-23.72746,21.89401,304.89,1.06,1.03,2023-10-07,20,Aqua,MODIS,17,6.1NRT,288.48,7.13,N
-23.72603,21.88374,308.8,1.06,1.03,2023-10-07,20,Aqua,MODIS,19,6.1NRT,290.14,9.24,N
-23.72173,21.85299,311.56,1.05,1.03,2023-10-07,20,Aqua,MODIS,75,6.1NRT,291.36,12.04,N
-23.71828,21.89548,309.14,1.06,1.03,2023-10-07,20,Aqua,MODIS,57,6.1NRT,288.74,10.12,N
-23.71684,21.88521,308.92,1.06,1.03,2023-10-07,20,Aqua,MODIS,30,6.1NRT,289.48,9.19,N
